Note: [none]
Total # of Iterations:	50000	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.2815	4	-192.4017	-192.563	1.009348	0.2810366	
Model:	mprecrat5
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9856115	0	1	6.503497	0	1	1	
Pa	0.3496883	0.2	0.7459626	2.307397	0.2	0.8	0.6	
Pb	3.773868	0.01	5	15.30827	0.01	5	4.99	
Pc	0.004656475	1e-04	0.01	0.0160198	1e-04	0.01	0.0099	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	Pa	Pb	Pc
MR	42.29547	-14.638	-5.539351	-0.008801405	
Pa	-14.638	5.324079	-1.965324	-0.003122679	
Pb	-5.539351	-1.965324	234.343	0.2261924	
Pc	-0.008801405	-0.003122679	0.2261924	0.0002566338	

Source data
rat	prec	predicted	
0.09793627	199.5	0.07763482	
0.06287278	240	0.1003031	
0.1351467	303.7	0.1376921	
0.09732386	361.6	0.1710324	
0.1655779	330.5	0.1533412	
0.1609994	327.3	0.1514881	
0.1874337	348.6	0.1637149	
0.0406339	144.9	0.05042706	
0.07405498	327.7	0.15172	
0.05920739	332.5	0.1544967	
0.03349928	265.6	0.1152273	
0.09358744	358.1	0.1690745	
0.1480221	484.3	0.2320196	
0.1508633	330.9	0.1535724	
0.04389473	290	0.1296165	
0.1161283	215.9	0.0866264	
0.04617053	222.2	0.09015472	
0.07283431	214.1	0.08562535	
0.03174495	274	0.1201733	
0.08635824	171.4	0.06303244	
0.08286346	395.5	0.189459	
0.07499991	204.7	0.08045306	
0.07621066	275.8	0.1212348	
0.04650233	196.6	0.07607743	
0.07267583	254.4	0.1086628	
0.1684874	202.9	0.07947388	
0.1775987	222.2	0.09015472	
0.1766173	199	0.07736556	
0.2561497	323.2	0.1491067	
0.08581704	107.3	0.03490945	
0.08165883	266.1	0.1155213	
0.1181447	171.8	0.06323202	
0.1629166	260.9	0.1124674	
0.1210237	320.7	0.147651	
0.1912346	436.9	0.2104165	
0.1455412	203.9	0.0800174	
0.02651434	211.9	0.08440632	
0.05568562	176.2	0.06544437	
0.03503488	142.3	0.04926022	
0.05777684	229.5	0.09428722	
0.02008387	296	0.1331565	
0.07143941	143.1	0.04961784	
0.06278213	331.5	0.1539192	
0.1573845	366.4	0.1737019	
0.09247242	344.7	0.1614966	
0.1796374	354.1	0.1668257	
0.1271469	327.9	0.1518359	
0.04003083	147.1	0.05142462	
0.1220973	370.9	0.1761875	
0.05457975	318.7	0.1464845	
0.09209923	298.7	0.1347481	
0.08777828	476.6	0.2286919	
0.147539	561.7	0.2615363	
0.1625557	271.4	0.1186409	
0.04442081	276.6	0.1217067	
0.1986661	382	0.1822446	
0.08226787	258.1	0.1108266	
0.07064392	213.9	0.08551433	
0.03355328	313.9	0.1436788	
0.07154471	200	0.07790439	
0.09808652	448.9	0.2161357	
0.04748416	267.3	0.116227	
0.1259869	321.5	0.1481171	
0.05763474	199.8	0.07779652	
0.1068164	359.4	0.1698028	
0.1348452	335.1	0.1559957	
0.149858	348.1	0.1634311	
0.1437259	338	0.1576632	
0.04349623	141.1	0.04872615	
0.09018941	353.4	0.166431	
0.07338176	322.3	0.1485829	
0.04840161	285.4	0.1269009	
0.1039761	446.3	0.2149106	
0.1173053	541	0.2543339	
0.1305473	292.8	0.1312689	
0.03379989	277.9	0.1224737	
0.1174534	326.3	0.150908	
0.05003962	252.3	0.1074373	
0.09789741	218.7	0.08818993	
0.03536019	304.8	0.1383391	
0.04882452	199.1	0.07741938	
0.07868437	445.6	0.2145795	
0.04198474	252.4	0.1074956	
0.09480179	323.4	0.149223	
0.07480113	202.2	0.07909411	
0.26936	360.2	0.1702504	
0.189034	341.6	0.1597264	
0.3093132	355.5	0.1676141	
0.2482097	326.3	0.150908	
0.04001177	147.8	0.05174397	
0.1178683	362.9	0.1717572	
0.0556492	322	0.1484083	
0.1127203	335.5	0.156226	
0.1548122	532	0.2510473	
0.2486419	666.6	0.2909697	
0.3110653	305.6	0.1388094	
0.0837598	334.9	0.1558805	
0.228604	425	0.204583	
0.1205257	333.6	0.1551313	
0.1291197	260.8	0.1124088	
0.06625869	382.1	0.1822987	
0.09849051	207.7	0.08209329	
0.5828131	368.2	0.1746981	
0.3738774	349.9	0.1644521	
0.5811849	390.2	0.1866474	
0.5059657	373.1	0.1773966	
0.07626182	163	0.05890237	
0.2310098	373.2	0.1774514	
0.1078383	333.4	0.155016	
0.1626592	376.8	0.1794206	
0.29091	612.7	0.2772476	
0.4185128	799.9	0.3146697	
0.478777	353.3	0.1663746	
0.2128957	371.2	0.1763527	
0.4040281	454	0.2185156	
0.197504	385.2	0.1839703	
0.2710632	295.9	0.1330975	
0.1525367	444.8	0.2142003	
0.1960562	231.9	0.09565527	
0.3262517	506.9	0.2413747	
0.138568	279.3	0.1232998	
0.2202332	318.8	0.1465429	
0.1085746	359	0.1695789	
0.1229677	336.2	0.1566287	
0.1445175	350.7	0.1649052	
0.127417	340.7	0.1592113	
0.04128587	143.3	0.04970744	
0.09253699	355.1	0.167389	
0.09946053	322.9	0.1489322	
0.0596355	297.7	0.1341587	
0.1932361	458.8	0.2207277	
0.2550653	572.6	0.2651328	
0.237985	302.1	0.1367505	
0.07283805	288.3	0.128613	
0.1092085	335.8	0.1563986	
0.06899374	270.5	0.1181107	
0.09069465	228.8	0.09388905	
0.04204381	323.4	0.149223	
0.1004605	201.1	0.07849852	
0.0970911	452.6	0.2178653	
0.06027039	256.5	0.1098903	
0.1406959	322.7	0.1488158	
0.1143764	203.9	0.0800174	
0.07969127	358.8	0.1694668	
0.0690587	335.6	0.1562835	
0.09859162	351.5	0.1653578	
0.06142529	346.2	0.162351	
0.01988913	144.3	0.05015662	
0.0460038	355.8	0.1677829	
0.03301357	320.7	0.147651	
0.02011435	299.2	0.1350427	
0.09045893	459.5	0.221048	
0.1403275	584.4	0.2688774	
0.1341438	311.1	0.1420384	
0.02887239	293.3	0.1315639	
0.04479617	332.7	0.1546121	
0.02434118	276.5	0.1216477	
0.05118988	233.4	0.0965125	
0.02165737	330.6	0.153399	
0.06356096	202	0.07898571	
0.3170893	360.9	0.1706416	
0.2377955	337.3	0.1572611	
0.3464311	358	0.1690184	
0.2816574	361.3	0.1708649	
0.09565752	148.7	0.05215594	
0.1990407	358.1	0.1690745	
0.1211196	322	0.1484083	
0.1466144	306.6	0.1393971	
0.2626483	479.1	0.2297802	
0.3644781	622.5	0.2799523	
0.283016	331.7	0.1540347	
0.1164069	303.2	0.1373979	
0.2163242	331.8	0.1540925	
0.1126222	289.8	0.1294984	
0.2184333	243.3	0.1022089	
0.1012387	347.1	0.1628629	
0.1816787	204.2	0.08018068	
0.1813105	458.2	0.2204527	
0.1076421	255.8	0.1094809	
0.2435312	319.6	0.1470096	
0.1752625	557	0.2599441	
0.121445	632.8	0.2826916	
0.1414086	762	0.3091895	
0.1390418	567.7	0.2635325	
0.08112583	306.9	0.1395734	
0.08830946	503.6	0.240047	
0.07755052	428.3	0.2062166	
0.1060988	722.2	0.302428	
0.1035995	889.2	0.3245666	
0.1193004	1430.6	0.342997	
0.147881	608.7	0.2761155	
0.09275033	551.8	0.2581532	
0.1607469	582.8	0.2683786	
0.1034699	481.1	0.2306453	
0.1036026	365.4	0.1731472	
0.07726855	584.3	0.2688463	
0.09549652	366.2	0.173591	
0.0982538	1019.7	0.3335658	

Likelihood History
Iteration	Temperature	Likelihood
0	5	100.0757	
22.75	5	100.085	
23.75	5	100.2726	
390.5	5	100.2735	
428	5	100.2769	
535.5	5	100.2796	
558.5	5	100.2802	
1000	5	100.2802	
2000	4.875	100.2802	
3000	4.875	100.2802	
4000	4.753125	100.2802	
5000	4.753125	100.2802	
6000	4.634297	100.2802	
7000	4.634297	100.2802	
8000	4.518439	100.2802	
8160	4.518439	100.2803	
8306	4.518439	100.2805	
9000	4.518439	100.2805	
10000	4.405478	100.2805	
11000	4.405478	100.2805	
11242.5	4.405478	100.2807	
12000	4.295342	100.2807	
13000	4.295342	100.2807	
14000	4.187958	100.2807	
15000	4.187958	100.2807	
16000	4.083259	100.2807	
17000	4.083259	100.2807	
17303	4.083259	100.2808	
18000	3.981178	100.2808	
19000	3.981178	100.2808	
19299	3.981178	100.2812	
20000	3.881648	100.2812	
21000	3.881648	100.2812	
22000	3.784607	100.2812	
23000	3.784607	100.2812	
24000	3.689992	100.2812	
25000	3.689992	100.2812	
26000	3.597742	100.2812	
27000	3.597742	100.2812	
28000	3.507798	100.2812	
28565.5	3.507798	100.2814	
29000	3.507798	100.2814	
30000	3.420103	100.2814	
31000	3.420103	100.2814	
32000	3.334601	100.2814	
33000	3.334601	100.2814	
34000	3.251236	100.2814	
35000	3.251236	100.2814	
35963	3.251236	100.2815	
36000	3.169955	100.2815	
37000	3.169955	100.2815	
38000	3.090706	100.2815	
39000	3.090706	100.2815	
40000	3.013438	100.2815	
41000	3.013438	100.2815	
42000	2.938102	100.2815	
43000	2.938102	100.2815	
44000	2.86465	100.2815	
45000	2.86465	100.2815	
46000	2.793034	100.2815	
47000	2.793034	100.2815	
48000	2.723208	100.2815	
49000	2.723208	100.2815	
50000	2.655128	100.2815	
