Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.2925	4	-192.4236	-192.5849	1.002745	0.2934352	
Model:	mwbrat6
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9994315	0	1	NaN	0	1	1	
WBa	0.3868213	0.2	0.8	NaN	0.2	0.8	0.6	
WBb	0.3184044	0.02532022	3	1.530102	0.01	3	2.99	
WBc	0.002915319	1e-04	0.01	0.008526562	1e-04	0.01	0.0099	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
wb	wb	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	WBa	WBb	WBc
MR	-98.4424	38.6337	1.143754	-0.005421023	
WBa	38.6337	-14.74677	0.44268	-0.00209816	
WBb	1.143754	0.44268	2.341211	-0.01236796	
WBc	-0.005421023	-0.00209816	-0.01236796	7.270225e-05	

Source data
rat	wb	predicted	
0.09018941	-360.4977	0.155497	
0.07338176	-340.744	0.1636278	
0.04840161	-376.0194	0.1490776	
0.1039761	-288.5496	0.1847414	
0.1173053	-139.3575	0.2397034	
0.1305473	-404.6157	0.1372246	
0.03379989	-455.5242	0.1162684	
0.1174534	-326.9048	0.1692866	
0.05003962	-460.5838	0.114211	
0.09789741	-519.875	0.09073721	
0.03536019	-407.3696	0.1360836	
0.04882452	-566.7088	0.07339994	
0.07868437	-209.5927	0.2150325	
0.04198474	-471.3113	0.1098714	
0.09480179	-411.409	0.1344108	
0.07480113	-533.2849	0.08564247	
0.26936	-359.7821	0.1557925	
0.189034	-348.2046	0.1605634	
0.3093132	-339.3143	0.1642141	
0.2482097	-339.9367	0.1639589	
0.04001177	-545.8614	0.08095508	
0.1178683	-333.4477	0.1666158	
0.0556492	-324.6393	0.1702094	
0.1127203	-300.7334	0.179874	
0.1548122	-185.7268	0.2236799	
0.2486419	3.998362	0.282218	
0.3110653	-375.1506	0.1494374	
0.0837598	-382.8554	0.1462454	
0.228604	-208.8507	0.2153053	
0.1205257	-358.7068	0.1562363	
0.1291197	-467.3876	0.1114549	
0.06625869	-309.9422	0.1761678	
0.09849051	-543.1919	0.08194228	
0.5828131	-329.9272	0.1680539	
0.3738774	-321.7956	0.1713661	
0.5811849	-277.4243	0.1891467	
0.5059657	-262.0507	0.195167	
0.07626182	-499.1951	0.09876756	
0.2310098	-289.3028	0.1844418	
0.1078383	-284.0455	0.1865296	
0.1626592	-220.9486	0.2108283	
0.29091	-74.82954	0.2601792	
0.4185128	171.4345	0.3186939	
0.478777	-286.6887	0.185481	
0.2128957	-310.2681	0.1760362	
0.4040281	-140.5184	0.2393153	
0.197504	-265.4929	0.1938261	
0.2710632	-394.991	0.1412142	
0.1525367	-203.7416	0.2171765	
0.1960562	-481.8804	0.1056301	
0.3262517	-97.72987	0.2531618	
0.138568	-392.3084	0.1423264	
0.2202332	-372.54	0.1505183	
0.1085746	-356.2263	0.1572596	
0.1229677	-349.7159	0.1599417	
0.1445175	-339.4601	0.1641543	
0.127417	-319.4423	0.172322	
0.04128587	-544.8333	0.08133478	
0.09253699	-334.3629	0.1662415	
0.09946053	-318.0516	0.1728864	
0.0596355	-336.5709	0.1653379	
0.1932361	-254.627	0.1980441	
0.2550653	-84.43666	0.2572689	
0.237985	-367.1683	0.1527407	
0.07283805	-418.9084	0.1313083	
0.1092085	-289.4772	0.1843723	
0.06899374	-412.1149	0.1341186	
0.09069465	-484.4994	0.1045848	
0.04204381	-357.2161	0.1568513	
0.1004605	-538.5654	0.08366319	
0.0970911	-174.0596	0.2278105	
0.06027039	-441.2258	0.122114	
0.1406959	-389.8948	0.1433272	
0.1143764	-506.3601	0.09596322	
0.07969127	-348.4124	0.1604779	
0.0690587	-344.0429	0.1622739	
0.09859162	-329.8078	0.1681026	
0.06142529	-303.7145	0.1786767	
0.01988913	-534.266	0.08527353	
0.0460038	-322.5838	0.1710457	
0.03301357	-310.6519	0.1758813	
0.02011435	-323.4587	0.1706899	
0.09045893	-244.898	0.2017836	
0.1403275	-62.09137	0.2639626	
0.1341438	-345.5783	0.1616432	
0.02887239	-401.3498	0.138578	
0.04479617	-280.1735	0.1880618	
0.02434118	-392.4432	0.1422705	
0.05118988	-468.1467	0.1111482	
0.02165737	-335.3053	0.165856	
0.06356096	-525.7666	0.08848714	
0.3170893	-336.044	0.1655536	
0.2377955	-333.237	0.1667019	
0.3464311	-309.2513	0.1764467	
0.2816574	-273.8391	0.1905579	
0.09565752	-514.6332	0.09275378	
0.1990407	-305.081	0.1781271	
0.1211196	-294.4537	0.1823881	
0.1466144	-299.4453	0.1803906	
0.2626483	-212.3632	0.214012	
0.3644781	-9.475176	0.2786822	
0.283016	-308.5175	0.1767427	
0.1164069	-377.8179	0.1483327	
0.2163242	-266.4403	0.1934564	
0.1126222	-363.4031	0.154297	
0.2184333	-443.6768	0.121109	
0.1012387	-302.133	0.1793122	
0.1816787	-509.0105	0.09493159	
0.1813105	-138.3964	0.2400242	
0.1076421	-414.5601	0.1331067	
0.2435312	-370.1866	0.1514922	
0.1752625	-168.336	0.229813	
0.121445	-70.76061	0.2613971	
0.1414086	73.22641	0.2989262	
0.1390418	-70.95926	0.2613378	
0.08112583	-354.946	0.1577875	
0.08830946	-166.5576	0.230432	
0.07755052	-207.7377	0.2157139	
0.1060988	112.6411	0.3073895	
0.1035995	192.1278	0.3223183	
0.1193004	798.5295	0.3747847	
0.147881	-35.73009	0.2715196	
0.09275033	-127.5751	0.2436036	
0.1607469	-22.56604	0.2751561	
0.1034699	-173.5244	0.2279985	
0.1036026	-331.2841	0.1674999	
0.07726855	-71.57293	0.2611546	
0.09549652	-343.6853	0.1624208	
0.0982538	420.7396	0.3521331	

Likelihood History
Iteration	Temperature	Likelihood
0	5	99.93392	
8.25	5	100.172	
132.75	5	100.2552	
147	5	100.2575	
147.5	5	100.2793	
461.5	5	100.2902	
1000	5	100.2902	
2000	4.875	100.2902	
3000	4.875	100.2902	
4000	4.753125	100.2902	
5000	4.753125	100.2902	
6000	4.634297	100.2902	
7000	4.634297	100.2902	
8000	4.518439	100.2902	
9000	4.518439	100.2902	
10000	4.405478	100.2902	
11000	4.405478	100.2902	
12000	4.295342	100.2902	
13000	4.295342	100.2902	
14000	4.187958	100.2902	
15000	4.187958	100.2902	
16000	4.083259	100.2902	
17000	4.083259	100.2902	
18000	3.981178	100.2902	
19000	3.981178	100.2902	
20000	3.881648	100.2902	
21000	3.881648	100.2902	
22000	3.784607	100.2902	
23000	3.784607	100.2902	
24000	3.689992	100.2902	
25000	3.689992	100.2902	
26000	3.597742	100.2902	
27000	3.597742	100.2902	
28000	3.507798	100.2902	
29000	3.507798	100.2902	
30000	3.420103	100.2902	
30551.75	3.420103	100.2908	
31000	3.420103	100.2908	
32000	3.334601	100.2908	
33000	3.334601	100.2908	
34000	3.251236	100.2908	
35000	3.251236	100.2908	
36000	3.169955	100.2908	
37000	3.169955	100.2908	
38000	3.090706	100.2908	
39000	3.090706	100.2908	
40000	3.013438	100.2908	
41000	3.013438	100.2908	
42000	2.938102	100.2908	
42161.5	2.938102	100.2912	
43000	2.938102	100.2912	
44000	2.86465	100.2912	
45000	2.86465	100.2912	
46000	2.793034	100.2912	
47000	2.793034	100.2912	
48000	2.723208	100.2912	
49000	2.723208	100.2912	
49524	2.723208	100.2919	
50000	2.655128	100.2919	
51000	2.655128	100.2919	
52000	2.588749	100.2919	
53000	2.588749	100.2919	
54000	2.524031	100.2919	
55000	2.524031	100.2919	
56000	2.46093	100.2919	
57000	2.46093	100.2919	
58000	2.399407	100.2919	
59000	2.399407	100.2919	
60000	2.339421	100.2919	
61000	2.339421	100.2919	
62000	2.280936	100.2919	
63000	2.280936	100.2919	
64000	2.223913	100.2919	
65000	2.223913	100.2919	
66000	2.168315	100.2919	
67000	2.168315	100.2919	
68000	2.114107	100.2919	
69000	2.114107	100.2919	
70000	2.061254	100.2919	
71000	2.061254	100.2919	
72000	2.009723	100.2919	
73000	2.009723	100.2919	
74000	1.95948	100.2919	
75000	1.95948	100.2919	
76000	1.910493	100.2919	
77000	1.910493	100.2919	
78000	1.86273	100.2919	
79000	1.86273	100.2919	
80000	1.816162	100.2919	
81000	1.816162	100.2919	
82000	1.770758	100.2919	
83000	1.770758	100.2919	
83566.5	1.770758	100.2925	
84000	1.726489	100.2925	
85000	1.726489	100.2925	
86000	1.683327	100.2925	
87000	1.683327	100.2925	
88000	1.641244	100.2925	
89000	1.641244	100.2925	
90000	1.600213	100.2925	
91000	1.600213	100.2925	
92000	1.560207	100.2925	
93000	1.560207	100.2925	
94000	1.521202	100.2925	
95000	1.521202	100.2925	
96000	1.483172	100.2925	
97000	1.483172	100.2925	
98000	1.446093	100.2925	
99000	1.446093	100.2925	
1e+05	1.409941	100.2925	
